,DrugA,DrugB
21442,Digoxin,Atazanavir
21443,Tacrolimus,Thalidomide
21444,Glyburide,Metreleptin
21445,Morphine,Quetiapine
21446,Voriconazole,Amobarbital
21447,Mycophenolic acid,Gemifloxacin
21448,Rifapentine,Pitavastatin
21449,Vincristine,Phenobarbital
21450,Midazolam,Rufinamide
21451,Dasatinib,Solifenacin
21452,Butabarbital,Hydrochlorothiazide
21453,Bexarotene,Oxytetracycline
21454,Nefazodone,Halofantrine
21455,Theophylline,Oxymetazoline
21456,,Nortriptyline
21457,Amsacrine,Metamizole
21458,Carbamazepine,Linezolid
21459,Dronedarone,Stiripentol
21460,Haloperidol,Rivastigmine
21461,Loxapine,Salmeterol
21462,Ranolazine,Rifampicin
21463,Argatroban,Acetylsalicylic acid
21464,Terfenadine,Posaconazole
21465,Tacrine,Imipramine
21466,Phenobarbital,Lumacaftor
21467,Midodrine,Carvedilol
21468,Simvastatin,
21469,Lorazepam,Pomalidomide
21470,Naloxegol,Palbociclib
21471,Cisplatin,Spectinomycin
21472,Ethosuximide,Phendimetrazine
21473,Abciximab,Epoprostenol
21474,Diazoxide,Nadolol
21475,Tamoxifen,Letrozole
21476,Doxazosin,Mifepristone
21477,Estrone sulfate,Anthrax immune globulin human
21478,Citalopram,Phenindione
21479,Hydroxyzine,Tizanidine
21480,Rifabutin,Ticagrelor
21481,Tolterodine,Abiraterone
21482,Rifabutin,Posaconazole
21483,Estrone sulfate,
21484,Tacrine,Hydroxyzine
21485,Fluconazole,Dexamethasone
21486,Amodiaquine,Felodipine
21487,Insulin glulisine,
21488,Trastuzumab,Hydroxyurea
21489,Procarbazine,Tianeptine
21490,Didanosine,Posaconazole
21491,Nimodipine,Methylphenidate
21492,Doxorubicin,Methotrimeprazine
21493,Fluvoxamine,
21494,Quinine,Halofantrine
21495,Risperidone,Isoxsuprine
21496,Bosentan,Tolterodine
21497,Mirtazapine,Quazepam
21498,Mexiletine,Vilazodone
21499,Pegaspargase,Tacrolimus
21500,Flucloxacillin,Acenocoumarol
21501,Citalopram,Iobenguane
21502,Hydrocodone,Ivacaftor
21503,Primidone,Bumetanide
21504,Clocortolone,Corticorelin ovine triflutate
21505,Fluvoxamine,Remoxipride
21506,Citalopram,Dronedarone
21507,Trastuzumab,Doxorubicin
21508,Chloroquine,Lumefantrine
21509,Tocilizumab,Bedaquiline
21510,Aprepitant,Tadalafil
21511,Metoprolol,Tranylcypromine
21512,Indinavir,Terfenadine
21513,Magnesium sulfate,Phentolamine
21514,Isosorbide dinitrate,Palbociclib
21515,Pegaspargase,Pegloticase
21516,Amisulpride,Lurasidone
21517,Peginterferon alfa-2b,Fluvoxamine
21518,Methylphenidate,Felodipine
21519,Saxagliptin,Perampanel
21520,Tacrolimus,Silodosin
21521,Floxuridine,Sipuleucel-T
21522,Furosemide,Spectinomycin
21523,Betaxolol,Cyproterone acetate
21524,Terfenadine,Voriconazole
21525,Loxapine,Apomorphine
21526,Magnesium sulfate,Calcium citrate
21527,Doxazosin,Hexobarbital
21528,Acetaminophen,Mipomersen
21529,Baclofen,Ziconotide
21530,Dronabinol,Oxazepam
21531,Zidovudine,Valaciclovir
21532,Warfarin,
21533,Sulfamethoxazole,Canagliflozin
21534,Methotrexate,Procaine benzylpenicillin
21535,Sumatriptan,Droxidopa
21536,Rituximab,Certolizumab pegol
21537,Dimenhydrinate,Sodium oxybate
21538,Remoxipride,Cyclobenzaprine
21539,Doxylamine,Nabilone
21540,Triprolidine,Doxofylline
21541,Losartan,Obinutuzumab
21542,Labetalol,Obinutuzumab
21543,Tramadol,Naratriptan
21544,Azithromycin,Tizanidine
21545,Voriconazole,Apixaban
21546,Metoclopramide,Amisulpride
21547,Rocuronium,Amrinone
21548,Anagrelide,Enoxaparin
21549,Bosentan,Cilostazol
21550,Almotriptan,Saquinavir
21551,Nimodipine,Cisatracurium
21552,Biotin,Benzylpenicillin
21553,Aprepitant,Irinotecan
21554,Prazosin,Lercanidipine
21555,Goserelin,Ketoconazole
21556,Bosentan,Atazanavir
21557,Eplerenone,Eprosartan
21558,Atracurium besylate,Neomycin
21559,Fludiazepam,Teduglutide
21560,Vancomycin,Arbekacin
21561,Lovastatin,Phenytoin
21562,Butobarbital,Aliskiren
21563,Desmopressin,Ibuprofen
21564,Benzphetamine,Articaine
21565,Methylprednisolone,Trichlormethiazide
21566,Hyaluronidase (ovine),Estrone sulfate
21567,Topiramate,Acetylsalicylic acid
21568,Phenelzine,Fluspirilene
21569,Ibandronate,Calcium carbonate
21570,St. John's Wort,Spiramycin
21571,Sulfadiazine,Dexketoprofen
21572,Valsartan,Triamterene
21573,Mefenamic acid,Colesevelam
21574,Esmolol,Timolol
21575,Lurasidone,Crizotinib
21576,Sucralfate,Gemifloxacin
21577,Darunavir,Ledipasvir
21578,Erythromycin,Buspirone
21579,Prilocaine,Technetium Tc-99m tilmanocept
21580,Ropinirole,Nortriptyline
21581,Fluconazole,Clonazepam
21582,Dofetilide,Perflutren
21583,Midodrine,Metoprolol
21584,Methylprednisolone,Rifapentine
21585,Esmolol,Propranolol
21586,Warfarin,Tiaprofenic acid
21587,Fenoprofen,Pralatrexate
21588,Vinorelbine,Siltuximab
21589,Rifabutin,Ledipasvir
21590,Quinidine,Tipranavir
21591,Desloratadine,Minocycline
21592,Etacrynic acid,Repaglinide
21593,Theophylline,Iobenguane
21594,Primidone,Metronidazole
21595,Phenytoin,Nifedipine
21596,Verapamil,Paliperidone
21597,Methylphenidate,Ranitidine
21598,Mirtazapine,Oxazepam
21599,Tranexamic acid,Fibrinogen human
21600,Clonidine,Moxonidine
21601,Bexarotene,Isavuconazonium
21602,Hydrocodone,Fusidic acid
21603,Nafcillin,Picosulfuric acid
21604,Natalizumab,Cytarabine
21605,Ketorolac,Edetic acid
21606,Bortezomib,Ropivacaine
21607,Fluvoxamine,Dasatinib
21608,St. John's Wort,Ponatinib
21609,Rosiglitazone,Trimethoprim
21610,Bortezomib,Alosetron
21611,Nilotinib,Calcium carbonate
21612,Framycetin,Clodronic acid
21613,Ziprasidone,Insulin aspart
21614,Zolpidem,Phenobarbital
21615,Sotalol,Calcium carbonate
21616,Omeprazole,Nilotinib
21617,Ritonavir,Posaconazole
21618,Goserelin,Octreotide
21619,Ranitidine,Cefuroxime
21620,Clobazam,Dienogest
21621,Dexamethasone,Alogliptin
21622,Octreotide,Pentamidine
21623,Propranolol,Orciprenaline
21624,Cyclosporine,Amobarbital
21625,Codeine,Bendroflumethiazide
21626,Omeprazole,Itraconazole
21627,Cimetidine,Doxorubicin
21628,Pramipexole,Secobarbital
21629,Sumatriptan,Trifluoperazine
21630,Mefloquine,Nitrazepam
21631,Indapamide,Levorphanol
21632,Acetylsalicylic acid,Sertraline
21633,Clopidogrel,Omega-3 fatty acids
21634,Atazanavir,Ivacaftor
21635,Ezetimibe,Fenofibrate
21636,Atomoxetine,Tranylcypromine
21637,Quetiapine,Alogliptin
21638,,Perphenazine
21639,Erlotinib,Magnesium oxide
21640,Haloperidol,Aclidinium
21641,Epinephrine,Dobutamine
21642,Darunavir,Telaprevir
21643,Warfarin,Cefditoren
21644,Bretylium,Acebutolol
21645,Quinidine,Clarithromycin
21646,Norethisterone,Vildagliptin
21647,Phenoxybenzamine,Molsidomine
21648,Ranolazine,Telaprevir
21649,Rifampicin,Regorafenib
21650,Oxymetazoline,Dextroamphetamine
21651,Ketoconazole,Cabazitaxel
21652,Primidone,Tapentadol
21653,Carbamazepine,Metyrosine
21654,Glimepiride,Probenecid
21655,Vancomycin,Rocuronium
21656,Nitrazepam,Rotigotine
21657,Dofetilide,Telaprevir
21658,Mifepristone,Acetylsalicylic acid
21659,Megestrol acetate,Ethyl biscoumacetate
21660,Ethosuximide,Dextroamphetamine
21661,Cabergoline,Olanzapine
21662,Sotalol,Levodopa
21663,Porfimer sodium,Tolbutamide
21664,Milnacipran,Ioflupane I-123
21665,Butalbital,Rifabutin
21666,Primidone,Isoxsuprine
21667,Silodosin,Eliglustat
21668,Fluorouracil,Roflumilast
21669,Alfuzosin,Nebivolol
21670,Nefazodone,Propafenone
21671,Atracurium besylate,Gabapentin
21672,Boceprevir,Olaparib
21673,Duloxetine,Chlorothiazide
21674,Nelfinavir,Salmeterol
21675,Amiloride,Nicorandil
21676,Acenocoumarol,Vilazodone
21677,Ibritumomab tiuxetan,Venlafaxine
21678,Edrophonium,Acetylcholine
21679,Apixaban,Ticagrelor
21680,Mitotane,Everolimus
21681,Dicoumarol,Nortriptyline
21682,Ethoxzolamide,Brinzolamide
21683,Phenytoin,Rolapitant
21684,St. John's Wort,Vortioxetine
21685,Kanamycin,Tiaprofenic acid
21686,Molindone,Milnacipran
21687,Nitrendipine,Silodosin
21688,Bosentan,Ixazomib
21689,Phenelzine,Pheniramine
21690,Amphetamine,Dipivefrin
21691,Selegiline,Dabrafenib
21692,Insulin glargine,Lanreotide
21693,Cyclobenzaprine,Hydrocodone
21694,Clobazam,Magnesium sulfate
21695,Hexobarbital,Acenocoumarol
21696,Botulinum toxin type A,Cisatracurium
21697,Itopride,Butylscopolamine
21698,Orlistat,Phenobarbital
21699,Goserelin,Saquinavir
21700,Cefaclor,Picosulfuric acid
21701,Ketorolac,Citric acid
21702,Warfarin,Etodolac
21703,Trazodone,Darunavir
21704,Paroxetine,Lanreotide
21705,Corticotropin,Denosumab
21706,Pimecrolimus,Canakinumab
21707,Drospirenone,
21708,Loperamide,Tesmilifene
21709,Triptorelin,Canagliflozin
21710,Reserpine,Bisoprolol
21711,Dicoumarol,Dexmethylphenidate
21712,Diethylpropion,Selegiline
21713,Dofetilide,Amlodipine
21714,Methyclothiazide,Porfimer sodium
21715,Ritonavir,Rifabutin
21716,Leuprolide,Itraconazole
21717,Tenofovir disoproxil,Streptomycin
21718,Diphenhydramine,Cimetropium
21719,Diclofenamide,Levodopa
21720,Tipranavir,Desvenlafaxine
21721,Amifostine,Penbutolol
21722,Voriconazole,Ixabepilone
21723,Bupropion,Rotigotine
21724,Zopiclone,Telaprevir
21725,Benazepril,Heparin
21726,Telithromycin,Perhexiline
21727,Etacrynic acid,Streptomycin
21728,Trazodone,Fosaprepitant
21729,Flurazepam,Methotrimeprazine
21730,Nisoldipine,Doxazosin
21731,Paroxetine,Albiglutide
21732,Infliximab,Captopril
21733,Desloratadine,Azelastine
21734,Gefitinib,Nizatidine
21735,Metoclopramide,Chlorprothixene
21736,Octreotide,Nadolol
21737,Tolcapone,Azelastine
21738,Glucosamine,Vortioxetine
21739,Delavirdine,Fosphenytoin
21740,Nilotinib,Cobicistat
21741,Chlorotrianisene,Bexarotene
21742,Argatroban,Edetic acid
21743,Budesonide,Calcium carbonate
21744,Hydrocodone,Dexchlorpheniramine maleate
21745,Nabumetone,Tobramycin
21746,Cabergoline,Trifluoperazine
21747,Doxapram,Isocarboxazid
21748,Abiraterone,Fesoterodine
21749,Modafinil,Isoprenaline
21750,Nimodipine,Perampanel
21751,Ifosfamide,Acenocoumarol
21752,Cimetidine,Carbamazepine
21753,Dronabinol,Phenmetrazine
21754,Valsartan,Secobarbital
21755,Hydroxyzine,Propofol
21756,Sulfisoxazole,Ramelteon
21757,Levonorgestrel,Alogliptin
21758,Botulinum Toxin Type B,Azelastine
21759,Clopidogrel,Gabapentin
21760,Alfentanil,Crizotinib
21761,Insulin human,Lurasidone
21762,Diflunisal,Edetic acid
21763,Treprostinil,Quinapril
21764,Carisoprodol,Dronabinol
21765,Neomycin,Meticillin
21766,Ritonavir,Nilotinib
21767,Mifepristone,Salbutamol
21768,,Loratadine
21769,Diltiazem,Budesonide
21770,Botulinum Toxin Type B,Desloratadine
21771,Methohexital,Bumetanide
21772,Aldesleukin,Verapamil
21773,Cyclosporine,Idelalisib
21774,Losartan,Itraconazole
21775,Tacrolimus,Melphalan
21776,Imipramine,St. John's Wort
21777,Metformin,Chlorpropamide
21778,Nelfinavir,Atorvastatin
21779,Quinine,Penbutolol
21780,Phenylpropanolamine,Naphazoline
21781,Isosorbide mononitrate,Siltuximab
21782,Midodrine,Desipramine
21783,Remoxipride,Nefazodone
21784,Ritonavir,Voriconazole
21785,Digoxin,Doxorubicin
21786,Insulin glargine,Indinavir
21787,Fosamprenavir,Trabectedin
21788,Meperidine,Butobarbital
21789,Atomoxetine,Triprolidine
21790,Trihexyphenidyl,Itopride
21791,Moexipril,Everolimus
21792,Natalizumab,Temozolomide
21793,Simvastatin,Ivacaftor
21794,Phenprocoumon,Tinzaparin
21795,Phenobarbital,Clarithromycin
21796,Rilonacept,Pomalidomide
21797,Ibritumomab tiuxetan,Tiaprofenic acid
21798,Fusidic acid,Naloxegol
21799,Tacrine,Rocuronium
21800,Linezolid,Mequitazine
21801,Ketorolac,Porfimer sodium
21802,Perphenazine,Vilazodone
21803,Lorcaserin,Brexpiprazole
21804,Dimenhydrinate,Mianserin
21805,Temazepam,Nabilone
21806,Fosinopril,Molsidomine
21807,Benzquinamide,Naratriptan
21808,Hetacillin,Minocycline
21809,Alosetron,Vemurafenib
21810,Theophylline,Nebivolol
21811,Citalopram,Ethyl biscoumacetate
21812,Bexarotene,Vinblastine
21813,Tipranavir,Insulin glulisine
21814,Efavirenz,Risedronic acid
21815,Chlorotrianisene,Fludrocortisone
21816,Atomoxetine,Quinidine
21817,Pimozide,Nefazodone
21818,Metformin,Indapamide
21819,Clenbuterol,Propylhexedrine
21820,Indinavir,Ifosfamide
21821,Midodrine,Racepinephrine
21822,Doxorubicin,Ketoconazole
21823,Betamethasone,Repaglinide
21824,Amoxapine,Minocycline
21825,Vardenafil,Silodosin
21826,Mitotane,Tadalafil
21827,Dexmethylphenidate,Iobenguane
21828,Prilocaine,Zopiclone
21829,Oxymorphone,Suvorexant
21830,Megestrol acetate,Human C1-esterase inhibitor
21831,Dihydroergotamine,Perphenazine
21832,Cyproheptadine,Sertraline
21833,Nefazodone,Pazopanib
21834,Fosinopril,Canagliflozin
21835,Tizanidine,Ondansetron
21836,Dronabinol,Risperidone
21837,Triazolam,Saquinavir
21838,Fluvoxamine,Acetophenazine
21839,Cyproheptadine,Cimetropium
21840,Midazolam,Fosamprenavir
21841,Pimecrolimus,Mycophenolate mofetil
21842,Clopidogrel,Felodipine
21843,Spironolactone,Hexobarbital
21844,Gemifloxacin,Calcium carbonate
21845,Rosiglitazone,Abiraterone
21846,Paclitaxel,Stiripentol
21847,Fluticasone propionate,Metamfetamine
21848,Brimonidine,Phenoxybenzamine
21849,Bicalutamide,Lomitapide
21850,Fosphenytoin,Rolapitant
21851,Duloxetine,
21852,Estradiol,Chenodeoxycholic acid
21853,Bexarotene,Eliglustat
21854,Linezolid,Clomipramine
21855,Alendronic acid,Aluminum hydroxide
21856,Insulin glargine,Glimepiride
21857,Azithromycin,Nelfinavir
21858,Enoxaparin,Tibolone
21859,Ifosfamide,Tofacitinib
21860,Filgrastim,Topotecan
21861,Morphine,Zolpidem
21862,Cilazapril,Sacubitril
21863,Glimepiride,Drospirenone
21864,Iron,Enalaprilat
21865,Amoxapine,St. John's Wort
21866,Phenelzine,Aripiprazole
21867,Olopatadine,Betahistine
21868,Mirtazapine,Diphenhydramine
21869,Olanzapine,Vortioxetine
21870,Morphine,Trichlormethiazide
21871,Dofetilide,Amitriptyline
21872,Amphetamine,Methylphenidate
21873,Streptokinase,Treprostinil
21874,Insulin glulisine,Histrelin
21875,Ticlopidine,Phenindione
21876,Iron Dextran,Gemifloxacin
21877,Valsartan,Sulindac
21878,Vitamin E,Venlafaxine
21879,Loperamide,Saquinavir
21880,Abciximab,Obinutuzumab
21881,Cathinone,Zuclopenthixol
21882,Fosphenytoin,Rufinamide
21883,Saquinavir,Boceprevir
21884,Goserelin,Insulin glargine
21885,Butobarbital,Nebivolol
21886,Apremilast,Enzalutamide
21887,Dolutegravir,Magnesium chloride
21888,Voriconazole,Lacosamide
21889,Pimecrolimus,Boceprevir
21890,Cabergoline,Haloperidol
21891,Imipramine,Panobinostat
21892,Vitamin E,Ticagrelor
21893,Ticlopidine,Atomoxetine
21894,Rifabutin,Itraconazole
21895,Quinidine,Atazanavir
21896,Zolpidem,Thioridazine
21897,Clomipramine,Dabrafenib
21898,Nimodipine,Vemurafenib
21899,Promethazine,Paliperidone
21900,Promazine,Fentanyl
21901,Naltrexone,Fentanyl
21902,Oxybutynin,Clarithromycin
21903,Clomipramine,Panobinostat
21904,Nicotine,Disulfiram
21905,Imipramine,Tamoxifen
21906,Artemether,Dienogest
21907,Bexarotene,Diltiazem
21908,Rivastigmine,Nadolol
21909,Risperidone,Escitalopram
21910,Tobramycin,Cyclacillin
21911,Simvastatin,Fosaprepitant
21912,Phendimetrazine,Tedizolid phosphate
21913,Difluprednate,Ceritinib
21914,Phenelzine,Diclofenamide
21915,Atosiban,Olodaterol
21916,Ifosfamide,Eslicarbazepine acetate
21917,Mirtazapine,Promazine
21918,Pamidronic acid,Esomeprazole
21919,Linezolid,Diethylpropion
21920,Fondaparinux,Acetylsalicylic acid
21921,Bexarotene,Norgestimate
21922,Moclobemide,Pholcodine
21923,St. John's Wort,Boceprevir
21924,Digoxin,Framycetin
21925,Sirolimus,Leflunomide
21926,Lorazepam,Meprobamate
21927,Mirtazapine,Pentazocine
21928,Botulinum Toxin Type B,Protriptyline
21929,Levorphanol,Paraldehyde
21930,Octreotide,Acetohexamide
21931,Ritonavir,Cabazitaxel
21932,Leflunomide,Cabazitaxel
21933,Orciprenaline,Mepivacaine
21934,,Apixaban
21935,Dextromethorphan,
21936,Almotriptan,Aripiprazole
21937,Nitroprusside,Phenelzine
21938,Chlorotrianisene,Exenatide
21939,Dofetilide,Indapamide
21940,Butabarbital,Papaverine
21941,Diltiazem,Saquinavir
21942,Bosentan,Posaconazole
21943,Clozapine,Primaquine
21944,Nicardipine,Ramelteon
21945,Chlorpromazine,Linezolid
21946,Fludrocortisone,Dihydrocodeine
21947,Tadalafil,Hydralazine
21948,Rasagiline,Pholcodine
21949,Aldesleukin,Nebivolol
21950,Trimipramine,Fosaprepitant
21951,Tofacitinib,Ceritinib
21952,Warfarin,Benzylpenicillin
21953,Sulpiride,Hydrochlorothiazide
21954,Amoxapine,Eluxadoline
21955,Piroxicam,Netilmicin
21956,Arsenic trioxide,Canagliflozin
21957,Entacapone,Rotigotine
21958,Insulin lispro,Phenelzine
21959,Zonisamide,Cathinone
21960,Meperidine,Hydroflumethiazide
21961,Valsartan,Diclofenamide
21962,Dronabinol,Gemfibrozil
21963,Nateglinide,Dabrafenib
21964,Trimipramine,Pramlintide
21965,Alclometasone,Ceritinib
21966,Telithromycin,Netupitant
21967,Phenytoin,Valproic acid
21968,Efavirenz,Simvastatin
21969,Verapamil,Suvorexant
21970,Octreotide,Chloroquine
21971,Acetylsalicylic acid,Ginkgo biloba
21972,Phenelzine,Tedizolid phosphate
21973,Edetic acid,Desirudin
21974,Scopolamine,Cimetropium
21975,Ziprasidone,Linezolid
21976,Voriconazole,Parecoxib
21977,Hyoscyamine,Magnesium hydroxide
21978,Tranylcypromine,Granisetron
21979,Esmolol,Tacrine
21980,Vancomycin,Netilmicin
21981,Tipranavir,Dolutegravir
21982,Rifapentine,Enzalutamide
21983,Pentobarbital,Canagliflozin
21984,Metaraminol,Indacaterol
21985,Paroxetine,Amisulpride
21986,Lorazepam,Cyproheptadine
21987,Piroxicam,Warfarin
21988,Tenecteplase,Magnesium salicylate
21989,Dicoumarol,Ibuprofen
21990,Ipratropium,Pizotifen
21991,Infliximab,Risedronic acid
21992,Dasatinib,Roflumilast
21993,Terbutaline,Atosiban
21994,Butalbital,Acebutolol
21995,Clemastine,Paraldehyde
21996,Vardenafil,Simeprevir
21997,Edetic acid,Insulin glulisine
21998,Tocilizumab,Armodafinil
21999,Orciprenaline,Selegiline
22000,Pimecrolimus,Verapamil
22001,Spironolactone,Primidone
22002,Quinine,Phenelzine
22003,Imatinib,Olaparib
22004,Acebutolol,Olodaterol
22005,Pentamidine,Gliclazide
22006,Zaleplon,Rifapentine
22007,Gemtuzumab ozogamicin,Roflumilast
22008,Phenelzine,Molindone
22009,Topotecan,Mirabegron
22010,Progesterone,Chlorpropamide
22011,Methadone,Carbamazepine
22012,Dicoumarol,Fenoprofen
22013,Conivaptan,Isavuconazonium
22014,Apixaban,Floctafenine
22015,Rasagiline,
22016,Pimecrolimus,Golimumab
22017,Clozapine,Cytarabine
22018,Dronabinol,Fluorouracil
22019,Sulpiride,Olopatadine
22020,Trifluoperazine,Eluxadoline
22021,Guanfacine,Heptabarbital
22022,Baclofen,Minocycline
22023,Misoprostol,Magnesium oxide
22024,Sildenafil,Boceprevir
22025,Sulfisoxazole,Barnidipine
22026,Indapamide,Levodopa
22027,Methotrexate,Acetylsalicylic acid
22028,Doxylamine,Ketamine
22029,Zuclopenthixol,Eluxadoline
22030,Zolpidem,Metyrosine
22031,Maprotiline,Chlorprothixene
22032,Glucagon,Carbinoxamine
22033,Fenoprofen,Glucosamine
22034,Zolpidem,Brexpiprazole
22035,Mirtazapine,Abiraterone
22036,Ivermectin,Acenocoumarol
22037,Digoxin,Streptomycin
22038,Dofetilide,Indacaterol
22039,Fentanyl,Acepromazine
22040,Orphenadrine,Itopride
22041,Amphetamine,Levorphanol
22042,Etoposide,Siltuximab
22043,Fluvoxamine,Zolmitriptan
22044,Gentamicin,Etacrynic acid
22045,Tositumomab,Roflumilast
22046,Insulin glargine,Sitagliptin
22047,Goserelin,Acetohexamide
22048,Rifampicin,Nintedanib
22049,Pentoxifylline,Indapamide
22050,Tipranavir,Afatinib
22051,Amitriptyline,Acepromazine
22052,Verapamil,Magnesium citrate
22053,Risperidone,Pindolol
22054,Butabarbital,Acetazolamide
22055,Brentuximab vedotin,Boceprevir
22056,Ethynodiol diacetate,Insulin aspart
22057,Lisinopril,Azathioprine
22058,Mesalazine,Ranitidine
22059,Doxylamine,Clomipramine
22060,Trastuzumab,Topotecan
22061,Butabarbital,Dapagliflozin
22062,Atenolol,Phenelzine
22063,Mannitol,Kanamycin
22064,Chlordiazepoxide,Minocycline
22065,Desogestrel,Acetohexamide
22066,Frovatriptan,Molindone
22067,Sulpiride,Homatropine
22068,Valproic acid,Amobarbital
22069,Tacrolimus,Topotecan
22070,Fluoxetine,Granisetron
22071,Atorvastatin,Silodosin
22072,Piperacillin,Amikacin
22073,Acetaminophen,Mephentermine
22074,Dihydrotachysterol,Aluminum hydroxide
22075,Sulindac,Arbekacin
22076,Fluconazole,Ergometrine
22077,Ibandronate,Streptomycin
22078,Dicloxacillin,Gentamicin
22079,Verapamil,Ulipristal
22080,Vincristine,Leflunomide
22081,Cortisone acetate,Nicorandil
22082,Droperidol,Nortriptyline
22083,Cyclosporine,Dofetilide
22084,Secobarbital,Magnesium sulfate
22085,Acenocoumarol,Pivampicillin
22086,Fosphenytoin,Cobicistat
22087,Buspirone,Risperidone
22088,Venlafaxine,Dapoxetine
22089,Ethosuximide,Luliconazole
22090,Aminophylline,Heptabarbital
22091,St. John's Wort,Armodafinil
22092,Porfimer sodium,Benzophenone
22093,Fluvastatin,Pazopanib
22094,Amphetamine,Ethoxzolamide
22095,Midodrine,Protriptyline
22096,Disulfiram,Lopinavir
22097,Indinavir,Vincristine
22098,Edetic acid,Insulin degludec
22099,Sulfamethoxazole,Stanolone
22100,Clarithromycin,Pranlukast
22101,Nefazodone,Ifosfamide
22102,Topiramate,Maprotiline
22103,Tacrine,Tiotropium
22104,Neomycin,Cloxacillin
22105,Nelfinavir,Bromocriptine
22106,Metformin,Danazol
22107,Mechlorethamine,Denosumab
22108,Trichlormethiazide,Cilazapril
22109,Nitroglycerin,Riociguat
22110,Butabarbital,Valproic acid
22111,Fluvoxamine,Ridogrel
22112,Abciximab,Progesterone
22113,Doxylamine,Phenobarbital
22114,Metolazone,Paroxetine
22115,Lorcaserin,Tedizolid phosphate
22116,Insulin detemir,Lanreotide
22117,Ondansetron,Nefazodone
22118,Methotrimeprazine,Canagliflozin
22119,Ritodrine,Olodaterol
22120,Duloxetine,Aripiprazole
22121,Azacitidine,Leflunomide
22122,Baclofen,Quetiapine
22123,Lercanidipine,Atracurium besylate
22124,Botulinum Toxin Type B,Nortriptyline
22125,Tedizolid phosphate,Pholcodine
22126,Ziprasidone,Dronabinol
22127,Rifabutin,Lumefantrine
22128,Verteporfin,Flurbiprofen
22129,Mitotane,Maraviroc
22130,Bisoprolol,Phenelzine
22131,Floctafenine,Morniflumate
22132,Chlorpropamide,Ranitidine
22133,Goserelin,Nicardipine
22134,Captopril,Levodopa
22135,Chlorpheniramine,Abiraterone
22136,Ticlopidine,Limaprost
22137,Norethisterone,Canagliflozin
22138,Ketoprofen,Arbekacin
22139,Sulfisoxazole,Nateglinide
22140,Ritodrine,Salmeterol
22141,Droperidol,Clonidine
22142,Isoflurane,Suvorexant
22143,Magnesium sulfate,Desloratadine
22144,Naltrexone,Remifentanil
22145,Ticlopidine,Pipotiazine
22146,Basiliximab,Tofacitinib
22147,Acenocoumarol,Danaparoid
22148,Digoxin,Calcium gluconate
22149,Alteplase,Iloprost
22150,Aprepitant,Trimipramine
22151,Reserpine,Trimipramine
22152,Porfimer sodium,Trifluoperazine
22153,Dicyclomine,Cimetropium
22154,Fosamprenavir,Apixaban
22155,Cyproheptadine,Trichlormethiazide
22156,Warfarin,Regorafenib
22157,Nabilone,Isoprenaline
22158,Nadroparin,Nintedanib
22159,Duloxetine,Dexmedetomidine
22160,Pramipexole,Triprolidine
22161,Pentamidine,Vildagliptin
22162,Tacrolimus,Carboplatin
22163,Primidone,Praziquantel
22164,Delavirdine,Iloperidone
22165,Topotecan,Cobicistat
22166,Esmolol,Regorafenib
22167,Flibanserin,Ceritinib
22168,Sulfisoxazole,Ketamine
22169,Diltiazem,Pimozide
22170,Tenecteplase,Flurbiprofen
22171,Amitriptyline,Ritonavir
22172,Amiodarone,Darunavir
22173,Voriconazole,Sonidegib
22174,Digoxin,Mifepristone
22175,Doxepin,Metoclopramide
22176,Acetaminophen,Terbutaline
22177,Vancomycin,Ribostamycin
22178,Cimetidine,Ledipasvir
22179,Venlafaxine,Levonordefrin
22180,Metoclopramide,Posaconazole
22181,Secobarbital,Felodipine
22182,Amodiaquine,Tamoxifen
22183,Propafenone,Isavuconazonium
22184,Quinine,Clarithromycin
22185,Doxazosin,Idelalisib
22186,Isoflurophate,Darunavir
22187,Celecoxib,Tacrolimus
22188,Hydroxyzine,Ramosetron
22189,Benzatropine,Ramosetron
22190,Tolazamide,Dexketoprofen
22191,Ertapenem,Picosulfuric acid
22192,Nelfinavir,Valproic acid
22193,Prednisone,Canagliflozin
22194,Cyclosporine,Metoclopramide
22195,Idarubicin,Lumacaftor
22196,Itopride,Pizotifen
22197,Clozapine,Saxagliptin
22198,Orphenadrine,Tapentadol
22199,Phenytoin,Toremifene
22200,Enalapril,Iron Dextran
22201,,Insulin degludec
22202,Tranylcypromine,Eliglustat
22203,Heparin,Limaprost
22204,Linezolid,Cocaine
22205,Hyaluronidase (ovine),Desoximetasone
22206,Mitotane,Olaparib
22207,Dronabinol,Fosphenytoin
22208,Haloperidol,Deferasirox
22209,Fluticasone propionate,Phenelzine
22210,Erythromycin,Phenytoin
22211,Mefenamic acid,Obinutuzumab
22212,Carbamazepine,Thiothixene
22213,Norethisterone,Exenatide
22214,Methadone,Etravirine
22215,Calcium chloride,Deferiprone
22216,Trandolapril,Hexobarbital
22217,Dofetilide,Ziprasidone
22218,Peginterferon alfa-2b,Theophylline
22219,Pamidronic acid,Neomycin
22220,Mitotane,Dantrolene
22221,Flavoxate,Ramosetron
22222,Ketamine,Netupitant
22223,Tiotropium,Zuclopenthixol
22224,Citalopram,Ibutilide
22225,Zolpidem,Simeprevir
22226,Oxybutynin,Cobicistat
22227,Ketorolac,Aliskiren
22228,Lithium cation,Tiaprofenic acid
